sweep,parameter,scene,psnr,ssim,lpips,lpips_proxy
resolution,128x128,gaussian_spots,28.663914827039825,0.8599307130174666,0.36857008934020996,0.0002247553929919377
resolution,64x64,gaussian_spots,25.893799906017414,0.6572835405536056,0.5556842088699341,0.0005066059529781342
resolution,32x32,gaussian_spots,21.111689421995735,0.2264376940720008,0.7913781404495239,0.0014212796231731772
resolution,16x16,gaussian_spots,15.541462298620168,0.022843622573652973,0.9237023591995239,0.0031576701439917088
phase_bits,8-bit,gaussian_spots,81.93617460358968,0.9999990062932969,1.3649494121636963e-06,2.260102771600714e-09
phase_bits,4-bit,gaussian_spots,58.50833195197229,0.9996397976131439,0.00031296740053221583,6.842938660156506e-07
phase_bits,2-bit,gaussian_spots,42.59417390236061,0.9167792898845673,0.05702690780162811,2.4675526219652966e-05
phase_bits,1-bit,gaussian_spots,0.04733034947448891,0.0028514900698382406,0.8110387325286865,0.00011823146633105353
viewing_angle,75%,gaussian_spots,31.065779918423267,0.9775631541329622,0.17075178027153015,0.00010196844232268631
viewing_angle,50%,gaussian_spots,28.94373410528742,0.9677924199213968,0.1639779657125473,7.896434544818476e-05
viewing_angle,25%,gaussian_spots,29.686006148664198,0.9719659935418389,0.1077779158949852,8.248561789514497e-05
viewing_angle,10%,gaussian_spots,29.163149044301427,0.7276956270910317,0.14828084409236908,6.702351674903184e-05
resolution,128x128,resolution_chart,11.074833350198436,0.12093007752956203,0.9319239854812622,0.010384312830865383
resolution,64x64,resolution_chart,10.826547330756016,0.04672506415283386,0.800612211227417,0.011239846237003803
resolution,32x32,resolution_chart,10.81200464596501,0.030651746479603337,0.697380542755127,0.011376040056347847
resolution,16x16,resolution_chart,10.790433303797617,0.06809110923833833,0.7172173261642456,0.011570464819669724
phase_bits,8-bit,resolution_chart,53.429697085534976,0.9998009116744995,5.1157385314581916e-05,2.1180703697609715e-06
phase_bits,4-bit,resolution_chart,29.44458839573715,0.9392751533689498,0.016863422468304634,0.0005520487320609391
phase_bits,2-bit,resolution_chart,14.605992347736777,0.3570007709625598,0.4969567656517029,0.0069629414938390255
phase_bits,1-bit,resolution_chart,1.505787096102834,0.023677327847357838,1.061834454536438,0.014562955126166344
viewing_angle,75%,resolution_chart,12.266355437253791,0.36657574950544564,0.639773428440094,0.008759967051446438
viewing_angle,50%,resolution_chart,11.480808945311889,0.33350366434839807,0.6643334627151489,0.009697903878986835
viewing_angle,25%,resolution_chart,11.353627200841638,0.28785529368995294,0.7168916463851929,0.010353775694966316
viewing_angle,10%,resolution_chart,11.603093477176804,0.1878743487464249,0.728855311870575,0.011102271266281605
resolution,128x128,letters,19.275665545327133,0.6526881007769674,0.4720027446746826,0.0023385086096823215
resolution,64x64,letters,17.95522345351576,0.28713057777952933,0.6827019453048706,0.0034908149391412735
resolution,32x32,letters,16.7157441457579,0.06806803200176112,0.7728964686393738,0.003942660987377167
resolution,16x16,letters,15.0825659324952,0.03686415696720528,0.8763930797576904,0.004360363353043795
phase_bits,8-bit,letters,68.68055482118935,0.99999171383667,1.9665012587211095e-06,4.6256324992555164e-08
phase_bits,4-bit,letters,47.028224145630595,0.996554696644783,0.0005711644189432263,9.562463674228638e-06
phase_bits,2-bit,letters,27.5247227241678,0.6631711893000602,0.13835687935352325,0.00039495673263445497
phase_bits,1-bit,letters,0.1599562168201997,0.005152734826268628,0.8592991828918457,0.0025518201291561127
viewing_angle,75%,letters,20.704153032464347,0.9209880320620388,0.18279419839382172,0.0014631659723818302
viewing_angle,50%,letters,19.91990455936538,0.909163500878335,0.1875331550836563,0.0017034062184393406
viewing_angle,25%,letters,19.592804391973544,0.8972717321243342,0.2253575325012207,0.0019222269766032696
viewing_angle,10%,letters,19.227395331736346,0.3571727494847301,0.5284978747367859,0.0020798214245587587
resolution,128x128,circle_ring,15.945497840313562,0.24941644454089215,0.6466938257217407,0.0038708560168743134
resolution,64x64,circle_ring,15.287561402108356,0.08898648487455534,0.7203524112701416,0.005313285160809755
resolution,32x32,circle_ring,14.530471954618122,0.056378270277585046,0.711313009262085,0.005316553637385368
resolution,16x16,circle_ring,13.725245548514241,0.059256882729414484,0.7844663858413696,0.0051174769178032875
phase_bits,8-bit,circle_ring,62.47415552668628,0.9999262476911545,1.3361917808651924e-05,2.913916148372664e-07
phase_bits,4-bit,circle_ring,35.827220204215664,0.977756673792839,0.0042740157805383205,8.235396671807393e-05
phase_bits,2-bit,circle_ring,21.81648940994296,0.43956853933943807,0.24190393090248108,0.0017185995820909739
phase_bits,1-bit,circle_ring,0.5375821078404743,0.02297395400711894,0.9376277923583984,0.004135649185627699
viewing_angle,75%,circle_ring,17.183386203551397,0.6657784288966824,0.301116943359375,0.0027597604785114527
viewing_angle,50%,circle_ring,16.68714608525766,0.6369443146492911,0.3296869695186615,0.0029822522774338722
viewing_angle,25%,circle_ring,16.651167988941364,0.598386365271117,0.38006827235221863,0.0030630002729594707
viewing_angle,10%,circle_ring,16.570109184984638,0.37223099185533937,0.5188522934913635,0.003300725482404232
