sweep,parameter,seed,psnr,ssim,lpips
phase_bits,8-bit,42,82.95446947692129,0.9999990189189911,1.4694750234411913e-06
phase_bits,4-bit,42,59.38135100967668,0.9996928194656373,0.0003367409808561206
phase_bits,2-bit,42,45.01830710983204,0.9775933139400482,0.01564888469874859
phase_bits,1-bit,42,35.70702081129795,0.6550718340320587,0.1802932322025299
resolution,128x128,42,28.663914827039825,0.8599307130174666,0.36857008934020996
resolution,64x64,42,25.893799906017414,0.6572835405536056,0.5556842088699341
resolution,32x32,42,21.111689421995735,0.2264376940720008,0.7913781404495239
resolution,16x16,42,15.541462298620168,0.022843622573652973,0.9237023591995239
phase_bits,8-bit,7,83.50219510498587,0.999999108344078,1.833362603065325e-06
phase_bits,4-bit,7,59.42016251156033,0.9996865209941864,0.0002760169154498726
phase_bits,2-bit,7,45.22099825678144,0.9708262721834183,0.02291206270456314
phase_bits,1-bit,7,36.16371636989284,0.5864578605303764,0.2048998922109604
resolution,128x128,7,28.935393411544613,0.8641186233505225,0.37893494963645935
resolution,64x64,7,26.211508287106934,0.6708503098524821,0.5605238676071167
resolution,32x32,7,21.430959049074076,0.24492025766167935,0.7840862274169922
resolution,16x16,7,16.361953510808554,0.0268109590257252,0.9141101837158203
phase_bits,8-bit,123,82.58319654641568,0.9999990520486831,1.4200627447280567e-06
phase_bits,4-bit,123,59.4380864391315,0.9997085880336761,0.00040943006752058864
phase_bits,2-bit,123,46.840942284615835,0.9751487392539978,0.01594053953886032
phase_bits,1-bit,123,35.99591407993651,0.5742788447833062,0.2123037874698639
resolution,128x128,123,28.839428391272012,0.8562750782788079,0.3999856412410736
resolution,64x64,123,25.067707877316813,0.5945555982332982,0.6113067269325256
resolution,32x32,123,23.233510034721064,0.2962290524435119,0.7303478121757507
resolution,16x16,123,17.876560254609384,0.043190332584639154,0.8839672207832336
phase_bits,8-bit,999,81.80033214281693,0.9999989720201492,1.567106437505572e-06
phase_bits,4-bit,999,59.0120370286911,0.9996503672876358,0.0003611829597502947
phase_bits,2-bit,999,44.85402945071744,0.9762569535541534,0.015332823619246483
phase_bits,1-bit,999,35.62931135045757,0.5878429734654427,0.20586830377578735
resolution,128x128,999,28.3601229308416,0.8464251005142442,0.40064629912376404
resolution,64x64,999,25.926002480972024,0.6264405463185834,0.5860977172851562
resolution,32x32,999,20.234688129850294,0.21862822845716753,0.8021743893623352
resolution,16x16,999,17.97241582973287,0.038979317434971544,0.8868687152862549
phase_bits,8-bit,17,83.7907767669666,0.9999990463600159,1.0106203944815206e-06
phase_bits,4-bit,17,58.91823742931251,0.9997006805744171,0.00046891142847016454
phase_bits,2-bit,17,46.3446643748307,0.9738918625583649,0.025027435272932053
phase_bits,1-bit,17,36.16156453931787,0.5970321045136452,0.20731580257415771
resolution,128x128,17,28.3473398045871,0.8735947936251816,0.35900619626045227
resolution,64x64,17,24.644167256390975,0.5847339753860084,0.6033722758293152
resolution,32x32,17,20.34805915764613,0.20894598595390687,0.794645369052887
resolution,16x16,17,18.414755710705446,0.04979102202607383,0.8671309351921082
