sweep,parameter,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std
resolution,128x128,17.027929543457308,6.692641272708989,0.3884535047578522,0.3134808948706837,0.659406864643097,0.21993097916697507
resolution,64x64,15.992176255270873,5.744720452971488,0.22842505858013357,0.23130990645432217,0.7047844052314758,0.08452017694169027
resolution,32x32,14.65955150535728,4.030251424179382,0.08506467249960287,0.07178117900642772,0.7569202303886413,0.04485770152979581
resolution,16x16,13.04875932187179,2.217146259748107,0.05241640588925337,0.0195965089630681,0.8368206262588501,0.07514104831549472
phase_bits,8-bit,63.27444667327201,12.726029399681371,0.9996282325597763,0.0006020301188366839,9.226775889601413e-05,0.00015111052118925816
phase_bits,4-bit,40.07427355557589,11.800704811233468,0.9342251342302799,0.09453313715731,0.022720346500864252,0.036053206937606934
phase_bits,2-bit,26.351561006679496,11.375519471162574,0.6359185198902497,0.25001752559114765,0.22304375134408475,0.21506352816421279
phase_bits,1-bit,20.27989281353326,9.052111903567095,0.27256361631886905,0.19811120185914885,0.5754459977149964,0.27908240456296607
viewing_angle,75%,18.36922472383294,7.283628299482898,0.6336372333378598,0.29336285849122873,0.4024981170892715,0.2315726908861653
viewing_angle,50%,17.45837099191278,6.724753272463261,0.6147923924260714,0.29718792713288994,0.4197838008403778,0.24437281329625826
viewing_angle,25%,17.47386777526437,7.0191869752204,0.5947610312454558,0.3064976630328022,0.43490996211767197,0.2566190419859422
viewing_angle,10%,17.43881807669076,6.6606998152423476,0.3616620071934925,0.2018156072637165,0.5399312108755112,0.2213569644890896
