x,y,source_doi,figure_id,digitized_by,date
0.17,0.0028,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
0.35,0.0055,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
0.70,0.0093,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
1.40,0.0135,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
2.80,0.0158,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
5.50,0.0148,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
11.0,0.0128,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
20.0,0.0115,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
40.0,0.0115,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
80.0,0.0115,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
180.0,0.0114,10.3390/polym9100472,Fig3,claude-visual-read,2026-08-18
