x,y,source_doi,figure_id,digitized_by,date
0,0.0,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
50,0.00007,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
150,0.00015,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
300,0.00022,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
500,0.00029,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
750,0.00035,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
1000,0.00039,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
1250,0.00043,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
1500,0.00046,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
1750,0.00049,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
2000,0.00050,10.1021/acsomega.1c06887,Fig2b,claude-visual-read,2026-08-18
